"","State","Name","SSA State County Code","FIPS State County Code","County"
"1","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39000","42001","Adams"
"2","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39010","42003","Allegheny"
"3","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39070","42005","Armstrong"
"4","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39080","42007","Beaver"
"5","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39110","42011","Berks"
"6","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39120","42013","Blair"
"7","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39130","42015","Bradford"
"8","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39140","42017","Bucks"
"9","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39150","42019","Butler"
"10","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39160","42021","Cambria"
"11","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39190","42025","Carbon"
"12","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39200","42027","Centre"
"13","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39210","42029","Chester"
"14","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39230","42033","Clearfield"
"15","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39250","42037","Columbia"
"16","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39260","42039","Crawford"
"17","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39270","42041","Cumberland"
"18","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39280","42043","Dauphin"
"19","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39290","42045","Delaware"
"20","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39320","42049","Erie"
"21","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39330","42051","Fayette"
"22","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39350","42055","Franklin"
"23","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39390","42063","Indiana"
"24","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39420","42069","Lackawanna"
"25","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39440","42071","Lancaster"
"26","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39450","42073","Lawrence"
"27","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39460","42075","Lebanon"
"28","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39470","42077","Lehigh"
"29","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39480","42079","Luzerne"
"30","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39510","42081","Lycoming"
"31","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39530","42085","Mercer"
"32","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39550","42089","Monroe"
"33","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39560","42091","Montgomery"
